Texas Education Agency,,,,,,,,,,,,,,,,,
2021-22 STAAR Performance,,,,,,,,,,,,,,,,,
ROUND ROCK H S (246909001) - ROUND ROCK ISD - WILLIAMSON COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,District,Campus,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,65%,78%,85%,82%,68%,91%,*,99%,-,83%,41%,63%,86%,84%,60%,50%
,2021,67%,82%,90%,78%,71%,96%,-,100%,*,96%,47%,73%,90%,88%,62%,59%
At Meets Grade Level or Above,2022,47%,65%,76%,56%,54%,81%,*,97%,-,68%,20%,50%,76%,72%,36%,39%
,2021,50%,70%,81%,56%,58%,90%,-,96%,*,81%,31%,47%,82%,76%,38%,39%
At Masters Grade Level,2022,11%,23%,31%,7%,16%,28%,*,62%,-,18%,3%,25%,33%,21%,6%,5%
,2021,12%,27%,36%,18%,18%,35%,-,62%,*,44%,8%,13%,37%,33%,7%,7%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,72%,82%,89%,80%,75%,94%,-,100%,*,94%,49%,75%,90%,84%,69%,60%
,2021,71%,83%,90%,80%,77%,93%,83%,99%,-,97%,49%,80%,91%,87%,69%,59%
At Meets Grade Level or Above,2022,55%,71%,82%,68%,61%,89%,-,98%,*,79%,38%,50%,83%,75%,50%,44%
,2021,57%,73%,82%,65%,67%,85%,67%,98%,-,84%,30%,70%,83%,78%,50%,45%
At Masters Grade Level,2022,9%,20%,24%,7%,10%,23%,-,46%,*,33%,8%,8%,25%,16%,3%,2%
,2021,11%,21%,27%,10%,15%,22%,17%,55%,-,29%,4%,20%,27%,24%,9%,7%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,76%,78%,80%,69%,73%,85%,*,96%,-,79%,62%,100%,80%,80%,67%,64%
,2021,73%,79%,75%,68%,63%,83%,-,91%,*,38%,61%,73%,74%,77%,58%,64%
At Meets Grade Level or Above,2022,43%,53%,45%,22%,34%,57%,*,78%,-,43%,27%,40%,44%,49%,21%,31%
,2021,41%,50%,32%,21%,20%,37%,-,67%,*,13%,19%,18%,32%,35%,11%,22%
At Masters Grade Level,2022,27%,41%,29%,19%,21%,35%,*,63%,-,32%,12%,20%,27%,37%,12%,21%
,2021,23%,33%,13%,4%,6%,14%,-,42%,*,0%,11%,0%,12%,16%,3%,6%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,83%,90%,94%,84%,87%,97%,*,100%,-,98%,68%,86%,94%,94%,83%,79%
,2021,82%,90%,95%,92%,85%,99%,*,99%,*,100%,75%,93%,96%,92%,83%,81%
At Meets Grade Level or Above,2022,55%,74%,83%,69%,65%,89%,*,98%,-,82%,31%,71%,84%,79%,47%,49%
