,id
0,1902001
3,1903001
7,1904001
10,1906002
12,1907001
18,1908002
22,1909001
24,2901001
25,2901002
30,3801001
31,3801002
34,3902001
35,3902004
39,3903001
40,3903004
54,3903201
55,3904001
56,3904005
60,3905001
61,3905004
68,3907001
69,3907004
72,4901001
76,5901001
78,5902001
81,5904001
85,7901001
88,7902001
89,7902004
90,7902005
95,7904001
100,7905001
101,7905004
102,7905005
106,7906001
110,8901001
115,8902001
119,8903001
122,9901001
127,10902001
131,11901001
132,11901002
133,11901005
134,11901022
145,11902001
146,11902003
147,11902004
153,11904002
157,11905001
159,12901001
163,13901001
171,13905001
174,14801001
175,14801002
176,14801004
177,14801005
178,14801006
179,14801007
180,14801008
181,14801009
182,14801010
192,14901001
197,14903001
198,14903010
214,14905001
217,14906001
218,14906002
219,14906004
220,14906006
221,14906007
222,14906008
224,14906013
270,14907001
272,14907043
274,14908001
277,14909002
280,14909008
293,14909198
294,14910001
298,15801001
299,15801002
302,15805001
303,15806003
313,15808003
317,15808014
318,15808016
320,15814001
322,15815041
340,15825002
356,15828008
367,15833001
397,15901001
402,15904001
403,15904002
404,15904003
405,15904004
406,15904007
407,15904010
408,15904011
428,15904115
430,15905002
431,15905003
432,15905015
433,15905016
435,15905042
448,15905124
454,15906001
457,15907001
458,15907002
459,15907003
460,15907004
461,15907005
462,15907006
463,15907007
464,15907008
466,15907020
467,15907022
469,15907024
470,15907025
472,15907027
473,15907028
543,15907182
555,15908001
556,15908006
575,15909001
576,15909002
577,15909006
583,15910001
584,15910002
585,15910003
586,15910004
587,15910005
588,15910007
589,15910008
590,15910009
591,15910012
592,15910014
593,15910022
605,15910054
658,15911001
660,15911004
661,15911005
662,15911007
673,15912001
674,15912005
675,15912006
695,15915001
696,15915002
697,15915003
699,15915005
700,15915006
701,15915007
702,15915008
703,15915011
705,15915016
706,15915019
707,15915022
708,15915023
709,15915024
710,15915025
711,15915039
817,15916001
818,15916003
820,15916006
821,15916008
822,15916009
823,15916010
849,15917001
858,16901001
861,16902001
865,18901001
871,18904001
878,19901001
881,19902002
885,19905001
888,19906001
892,19907002
893,19907003
905,19908001
909,19909001
915,19912001
921,20901001
922,20901002
923,20901005
924,20901006
952,20902001
954,20902003
963,20904001
966,20905001
967,20905002
969,20905005
970,20905006
986,20906002
989,20907001
994,20908001
995,20908007
996,20908009
1023,21901001
1024,21901003
1025,21901004
1026,21901015
1043,21902001
1044,21902002
1045,21902003
1046,21902012
1048,21902015
1049,21902017
1069,22901001
1075,24901001
1080,25901001
1083,25902001
1084,25902003
1091,25905001
1095,25908003
1096,25908004
1099,25909001
1103,26901001
1107,26902001
1112,27903001
1113,27903003
1118,27904001
1119,27904002
1125,28902001
1126,28902038
1134,28903001
1138,29901001
1139,29901003
1145,30901001
1147,30902001
1153,30906001
1156,31901001
1157,31901002
1158,31901003
1159,31901004
1160,31901007
1161,31901008
1162,31901009
1163,31901034
1208,31903001
1209,31903002
1210,31903005
1211,31903007
1212,31903008
1236,31903204
1237,31905001
1238,31905002
1244,31906001
1245,31906005
1258,31909001
1259,31909003
1263,31911001
1264,31911002
1267,31912001
1268,31912003
1269,31912005
1270,31912007
1271,31912008
1272,31912009
1287,31912201
1288,31913001
1289,31913007
1292,31914001
1295,31916001
1296,31916003
1298,31916005
1301,32902002
1307,33902001
1310,33904001
1312,34901001
1317,34903001
1320,34905002
1323,34906001
1326,34907001
1330,35901001
1335,36901001
1338,36902001
1345,36903001
1349,37901001
1352,37904002
1360,37907002
1367,38901001
1370,39902001
1373,39903001
1381,41902002
1385,41902195
1386,42901001
1389,42903001
1394,43901001
1395,43901002
1396,43901003
1418,43902001
1424,43902197
1425,43903001
1430,43904001
1434,43905001
1435,43905002
1436,43905003
1437,43905005
1438,43905006
1439,43905007
1440,43905008
1441,43905009
1442,43905010
1443,43905011
1444,43905012
1445,43905013
1506,43907002
1507,43907004
1508,43907005
1510,43907007
1538,43908001
1544,43910001
1545,43910003
1546,43910004
1547,43910005
1548,43910006
1549,43910007
1550,43910008
1551,43910009
1552,43910010
1553,43910011
1616,43910200
1618,43911001
1619,43911004
1628,43912001
1629,43912002
1630,43912005
1649,43914001
1651,43914003
1670,43917001
1673,43918001
1674,43918002
1678,43919001
1683,44902001
1686,45902001
1687,45902002
1690,45903001
1691,45903004
1697,45905002
1700,46802001
1702,46802010
1703,46802011
1705,46802015
1706,46802016
1707,46802017
1709,46802019
1710,46802021
1712,46901001
1713,46901002
1714,46901038
1727,46902001
1728,46902002
1729,46902003
1730,46902004
1731,46902006
1732,46902007
1733,46902008
1759,46902201
1761,46902210
1762,47901001
1766,47902001
1772,48901006
1773,48901007
1775,48903005
1778,48903195
1779,49901001
1784,49902001
1786,49903001
1789,49905001
1790,49905002
1794,49907001
1800,50902001
1807,50910001
1808,50910005
1819,52901001
1822,53001001
1828,54903001
1829,54903002
1833,56901001
1839,57803002
1841,57803004
1842,57803005
1843,57803006
1844,57803007
1846,57803009
1847,57803010
1850,57803013
1851,57803014
1853,57803016
1856,57803019
1882,57804001
1883,57804002
1884,57804003
1885,57804004
1886,57804005
1887,57804006
1888,57804007
1889,57804008
1890,57804009
1891,57804010
1892,57804011
1893,57804012
1894,57804013
1898,57807002
1913,57814002
1914,57814003
1915,57814005
1921,57828001
1922,57828002
1923,57828003
1924,57828004
1925,57828005
1926,57828006
1928,57829002
1930,57830002
1936,57834001
1937,57834003
1938,57834004
1949,57840001
1952,57844001
1963,57848003
1966,57848006
1969,57848009
1978,57848018
1991,57848032
1992,57848033
1993,57848034
2001,57903001
2002,57903002
2003,57903003
2005,57903006
2006,57903007
2007,57903009
2008,57903010
2026,57903117
2040,57904001
2041,57904003
2052,57905001
2053,57905002
2054,57905003
2055,57905005
2056,57905006
2057,57905007
